company,role,location,link,age
🔥 Oracle,Undergrad Software Engineer - Oracle Cloud Infrastructure (OCI) 🛂,"Seattle, WA",https://careers.oracle.com/en/sites/jobsearch/job/305990?utm_source=Simplify&ref=Simplify,11d
🔥 Oracle,Undergrad Software Engineer - Oracle Cloud Infrastructure (OCI) 🛂,"Nashville, TN",https://careers.oracle.com/en/sites/jobsearch/job/305993?utm_source=Simplify&ref=Simplify,11d
Iridium Communications,Software Engineer I,"Chandler, AZ",https://careers-iridium.icims.com/jobs/4644/job?utm_source=Simplify&ref=Simplify,12d
🔥 NVIDIA,GPU Architecture Engineer,"Santa Clara, CA, Austin, TX, Durham, NC",http://nvidia.wd5.myworkdayjobs.com/en-US/nvidiaexternalcareersite/job/US-CA-Santa-Clara/GPU-Architecture-Engineer---New-College-Grad-2025_JR2002495?utm_source=Simplify&ref=Simplify,12d
🔥 NVIDIA,OEM Account Applications Engineer,"Santa Clara, CA",https://nvidia.wd5.myworkdayjobs.com/en-US/nvidiaexternalcareersite/job/US-CA-Santa-Clara/OEM-Account-Applications-Engineer---New-College-Grad-2025_JR2002780?utm_source=Simplify&ref=Simplify,12d
🔥 TikTok,AI/ML Software Engineer Graduate (Data Platform TikTok BP),"San Jose, CA",https://lifeattiktok.com/search/7541178634444589319?utm_source=Simplify&ref=Simplify,12d
🔥 Tesla,Kernel Software Engineer,"Palo Alto, CA",https://www.tesla.com/careers/search/job/248966?utm_source=Simplify&ref=Simplify,12d
🔥 ByteDance,Machine Learning Graduate (eCommerce User Growth & Intelligent Marketing),"San Jose, CA",https://joinbytedance.com/search/7542657938525538578?utm_source=Simplify&ref=Simplify,12d
🔥 ByteDance,Software Engineer Graduate (AI Applications),"San Jose, CA",https://joinbytedance.com/search/7540808448918079752?utm_source=Simplify&ref=Simplify,12d
🔥 Microsoft,Software Engineer,Remote,https://jobs.careers.microsoft.com/global/en/job/1843258/Software-Engineer?utm_source=Simplify&ref=Simplify,12d
Aurora,Security Software Engineer I,"Mountain View, CA",https://aurora.tech/careers/8137861002?utm_source=Simplify&ref=Simplify,12d
🔥 NVIDIA,"Software Engineer, TensorRT Specialized Platforms 🎓","Santa Clara, CA",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Software-Engineer--TensorRT-Specialized-Platforms---New-College-Grad-2025_JR2002870?utm_source=Simplify&ref=Simplify,12d
Commure,"Software Engineer, Ambient AI (Summer 2026 New Grad)","Mountain View, CA",https://www.commure.com/careers-detail?ashby_jid=0f13b112-8d8c-4fb1-ae3d-449cc36cd89e&utm_source=Simplify&ref=Simplify,13d
🔥 Samsara,New Grad – Software Engineering,SF,https://www.samsara.com/company/careers/roles/7172579?gh_jid=7172579&utm_source=Simplify&ref=Simplify,13d
Abridge,Full Stack Engineering,"San Francisco, CA",https://jobs.ashbyhq.com/abridge/55958eb5-109f-4e88-9793-ed2327fc753a?utm_source=Simplify&ref=Simplify,13d
Cape,Software Engineer,"New York, NY, Washington, DC",https://jobs.ashbyhq.com/Cape/bd280ded-4298-47de-a186-1aebd1bd94b8?utm_source=Simplify&ref=Simplify,13d
Fidelity,Software Engineer 🛂,"Westlake, TX, Merrimack, NH",https://fmr.wd1.myworkdayjobs.com/en-US/fidelitycareers/job/Westlake-TX/XMLNAME-2026-Undergraduate---LEAP--Software-Engineer_2116586-1?utm_source=Simplify&ref=Simplify,13d
Valon,Software Engineer – New Grad,"SF, NYC",https://job-boards.greenhouse.io/valon/jobs/4409152006?utm_source=Simplify&ref=Simplify,14d
🔥 Google,Software Engineer – Early Career - PhD - Infrastructure 🎓," Madison, WI, Seattle, WA, Austin, TX, LA, Raleigh, NC, San Bruno, CA, Durham, NC, Kirkland, WA, NYC, Sunnyvale, CA, Mountain View, CA, Atlanta, GA",https://www.google.com/about/careers/applications/jobs/results/88714689822761670?utm_source=Simplify&ref=Simplify,14d
Susquehanna International Group (SIG),Software Developer – New Grad - Market Data - Libraries & Tools,"Ardmore, PA",https://careers-sig.icims.com/jobs/9261/job?utm_source=Simplify&ref=Simplify,14d
Citizen Health,Early Career Software Engineer,"SF, San Mateo, CA",https://jobs.ashbyhq.com/Citizen%20Health/ea388b8a-16cb-4b1b-b64f-479f0dc69764/application?utm_source=Simplify&ref=Simplify,14d
Empirical Security,Junior Software Engineer,Remote in USA,https://jobs.ashbyhq.com/empirical-security/16bd6ff1-2bd2-4f43-9108-b1ef22ad40e3?utm_source=Simplify&ref=Simplify,14d
Susquehanna,Software Developer,"Lower Merion Township, PA",https://careers-sig.icims.com/jobs/9716/software-developer---sprc---new-grad/job?utm_source=Simplify&ref=Simplify,14d
Citizen Health,Early Career Software Engineer,"San Francisco, CA, San Mateo, CA, Remote",https://jobs.ashbyhq.com/Citizen%20Health/ea388b8a-16cb-4b1b-b64f-479f0dc69764?utm_source=Simplify&ref=Simplify,14d
Harvey,Software Engineer – New Grad,"San Francisco, CA",https://jobs.ashbyhq.com/harvey/163860df-ae88-437d-81da-305efa554dff/application?utm_source=Simplify&ref=Simplify,15d
🔥 Adobe,2026 University Graduate - Software Engineer," Seattle, WA, SF, Austin, TX, San Jose, CA, Waltham, MA, NYC, Lehi, UT",https://adobe.wd5.myworkdayjobs.com/external_experienced/job/San-Jose/XMLNAME-2026-University-Graduate---Software-Engineer_R158684?utm_source=Simplify&ref=Simplify,15d
Zip,Software Engineer – New Grad - 2026 Start,"San Francisco, CA",https://jobs.ashbyhq.com/zip/5f28357a-c95d-485a-84f9-feff64ce9fb3/application?utm_source=Simplify&ref=Simplify,15d
Zip,Software Engineer – New Grad - 2026 Start,"Toronto, ON, Canada",https://jobs.ashbyhq.com/zip/ab7f23fa-a07e-4061-9400-622d56de67e4/application?utm_source=Simplify&ref=Simplify,15d
YouVersion,Associate Software Engineer,"Edmond, OK",https://jobs.lever.co/life/99fdfce1-f0d6-48f8-8ad8-b22b4d6561bf?utm_source=Simplify&ref=Simplify,15d
Tencent,Security Software Engineer I,"Palo Alto, CA",https://tencent.wd1.myworkdayjobs.com/en-US/Tencent_Careers/job/US-California-Palo-Alto/Security-Engineer-I_R103856?utm_source=Simplify&ref=Simplify,17d
🔥 Apple,"Accessibility Engineer, IS&T","Sunnyvale, CA",https://jobs.apple.com/en-us/details/200615794-3956/accessibility-engineer-is-t-early-career?utm_source=Simplify&ref=Simplify,18d
Zip,Software Engineer,"San Francisco, CA",https://jobs.ashbyhq.com/zip/5f28357a-c95d-485a-84f9-feff64ce9fb3?utm_source=Simplify&ref=Simplify,18d
Harvey,Software Engineer – New Grad,"San Francisco, CA",https://jobs.ashbyhq.com/harvey/fe8e594b-f2e1-453b-8a0d-e0b0bfdf745b/application?utm_source=Simplify&ref=Simplify,18d
Nodal,Software Engineer,"Tysons Corner, VA",https://nodalexchange.pinpointhq.com/postings/7dfa5f35-8585-4681-bad7-5f26b87bdc47?utm_source=Simplify&ref=Simplify,18d
Together AI,Software Engineer – New Grad,"San Francisco, CA",https://job-boards.greenhouse.io/togetherai/jobs/4835292007?utm_source=Simplify&ref=Simplify,18d
Vail,"Software Engineer, Test & Infrastructure I","Chicago, IL",https://jobs.lever.co/vailsys/aac4a828-c88d-4bc1-bf94-324e7ba4ddc9?utm_source=Simplify&ref=Simplify,19d
IXL Learning,Software Engineer – New Grad,"Raleigh, NC",https://www.ixl.com/company/jobs?gh_jid=8128544002&utm_source=Simplify&ref=Simplify,20d
IXL Learning,Software Engineer – New Grad,"San Mateo, CA",https://www.ixl.com/company/jobs?gh_jid=8128533002&utm_source=Simplify&ref=Simplify,20d
Nominal,Software Engineer – New Grad,"New York, NY",https://jobs.lever.co/nominal/cc79d7f9-93b9-4410-8435-d92d2f427215/apply?utm_source=Simplify&ref=Simplify,20d
Nominal,Software Engineer 🇺🇸,"New York, NY, Los Angeles, CA, Austin, TX",https://jobs.lever.co/nominal/cc79d7f9-93b9-4410-8435-d92d2f427215?utm_source=Simplify&ref=Simplify,20d
🔥 Oracle,Undergrad Cloud Engineer - Full-time Intern Conversion 🛂,"Redwood City, CA",https://careers.oracle.com/en/sites/jobsearch/job/305127?utm_source=Simplify&ref=Simplify,20d
🔥 TikTok,Software Engineer Graduate (Video-on-Demand Algorithm),"San Jose, CA",https://lifeattiktok.com/search/7538319953965287698?utm_source=Simplify&ref=Simplify,20d
🔥 TikTok,Software Engineer Graduate (Data Arch - E-commerce),"San Jose, CA",https://lifeattiktok.com/search/7535871317771634952?utm_source=Simplify&ref=Simplify,20d
🔥 ByteDance,Software Engineer in ML Systems Graduate,"San Jose, CA",https://joinbytedance.com/search/7265752342699837757?utm_source=Simplify&ref=Simplify,20d
🔥 Palantir,Software Engineer – New Grad - Infrastructure,"Palo Alto, CA",https://jobs.lever.co/palantir/7d75bed5-45d8-4876-840a-2d92ea79c98d/apply?utm_source=Simplify&ref=Simplify,21d
🔥 Palantir,Software Engineer – New Grad - Production Infrastructure,"Washington, DC",https://jobs.lever.co/palantir/15844944-fb69-4b57-9531-e988650b20c6/apply?utm_source=Simplify&ref=Simplify,21d
🔥 ByteDance,Software Engineer Graduate (Edge Platform),"San Jose, CA",https://joinbytedance.com/search/7538120693880834322?utm_source=Simplify&ref=Simplify,21d
🔥 TikTok,Software Engineer Graduate (Commerce Ads),"San Jose, CA",https://lifeattiktok.com/search/7538213896365689096?utm_source=Simplify&ref=Simplify,21d
🔥 TikTok,Software Engineer Graduate (Media Platform),"San Jose, CA",https://lifeattiktok.com/search/7538318336657606930?utm_source=Simplify&ref=Simplify,21d
🔥 TikTok,Software Engineer Graduate (Foundation Platform),"San Jose, CA",https://lifeattiktok.com/search/7538325343598741767?utm_source=Simplify&ref=Simplify,21d
Robin,Associate Software Engineer (AI-Native),"Boston, MA",https://jobs.lever.co/robinpowered/5b7a72e0-480a-49b6-a4cf-78ee0c6b6ce9?utm_source=Simplify&ref=Simplify,21d
Canonical,Software Engineer - Python - Cloud 🛂,Remote in USA,https://job-boards.greenhouse.io/canonical/jobs/3257589?utm_source=Simplify&ref=Simplify,21d
🔥 Notion,Software Engineer – Early Career - Infrastructure,"San Francisco, CA, New York, NY",https://jobs.ashbyhq.com/notion/add58865-8b9f-4cf7-9720-2908ba5f4d80/application?utm_source=Simplify&ref=Simplify,22d
The Travelers Companies,Software Engineer I - Workday Programmer - Report Writer - Eib,"Hartford, CT, St Paul, MN",https://travelers.wd5.myworkdayjobs.com/External/job/MN---St-Paul/Software-Engineer-I--Workday-Programmer----Report-Writer--EIB_R-46062?utm_source=Simplify&ref=Simplify,22d
Citadel,Software Engineer – University Graduate,"London, UK",https://www.citadel.com/careers/details/software-engineer-university-graduate-europe-2/?utm_source=Simplify&ref=Simplify,22d
qode.world,Junior Software Developer,"New Jersey, NJ",https://apply.workable.com/qodeworld/j/5718A36818/?utm_source=Simplify&ref=Simplify,23d
Western Digital,New College Grad Software Engineer - Software Engineering Development - Apps 🎓,"San Jose, CA",https://jobs.smartrecruiters.com/WesternDigital/744000076460273?utm_source=Simplify&ref=Simplify,25d
Prosidian Consulting,ITSM IT Security Engineer I,"Boulder, CO",https://jobs.smartrecruiters.com/prosidianconsulting/743999691983726?utm_source=Simplify&ref=Simplify,25d
Prosidian Consulting,ITSM IT Security Engineer I,"Seattle, WA",https://jobs.smartrecruiters.com/prosidianconsulting/743999692267870?utm_source=Simplify&ref=Simplify,25d
Anduril,Early Career Software Engineer,"Washington, DC",https://boards.greenhouse.io/andurilindustries/jobs/4824369007?utm_source=Simplify&ref=Simplify,25d
Artefact,Junior Software Engineer,"London, UK",https://job-boards.greenhouse.io/artefact/jobs/8119158002?utm_source=Simplify&ref=Simplify,25d
The Travelers Companies,Software Engineer I - AWS/Node/React/AI,"Atlanta, GA",https://travelers.wd5.myworkdayjobs.com/External/job/GA---Atlanta/Software-Engineer-I--AWS-Node-React-AI-_R-46114?utm_source=Simplify&ref=Simplify,25d
The Travelers Companies,Software Engineer I - AWS/Node/React/AI,"Hartford, CT, Richardson, TX, St Paul, MN",https://travelers.wd5.myworkdayjobs.com/External/job/CT---Hartford/Software-Engineer-I--AWS-Node-React-AI-_R-46121?utm_source=Simplify&ref=Simplify,25d
Esri,Software Development Engineer I,"St. Louis, MO",https://www.esri.com/careers/4829378007?gh_jid=4829378007&utm_source=Simplify&ref=Simplify,25d
Suno,Software Engineer – Early Career,"Boston, MA, New York, NY",https://jobs.ashbyhq.com/suno/991c9785-9bd5-499a-98aa-146e8c947752/application?utm_source=Simplify&ref=Simplify,25d
Esri,Software Development Engineer I,"St. Louis, MO",https://www.esri.com/careers/4829377007?gh_jid=4829377007&utm_source=Simplify&ref=Simplify,25d
Choice Hotels,Software Engineer 1,"Scottsdale, AZ",https://choicehotels.wd5.myworkdayjobs.com/External/job/Scottsdale-AZ---Technology--Digital-Commerce-Center/Software-Engineer-1_R20319?utm_source=Simplify&ref=Simplify,25d
Anduril,Early Career Software Engineer,"Boston, MA",https://boards.greenhouse.io/andurilindustries/jobs/4824362007?utm_source=Simplify&ref=Simplify,25d
Anduril,Early Career Software Engineer,"Newport Beach, CA",https://boards.greenhouse.io/andurilindustries/jobs/4802146007?utm_source=Simplify&ref=Simplify,25d
Citadel,Software Engineer – University Graduate,"London, UK",https://www.citadel.com/careers/details/software-engineer-university-graduate-europe/?utm_source=Simplify&ref=Simplify,25d
Anduril Industries,Early Career Software Engineer 🇺🇸,"Atlanta, GA",https://job-boards.greenhouse.io/andurilindustries/jobs/4824378007?gh_jid=4824378007&utm_source=Simplify&ref=Simplify,25d
Anduril Industries,Early Career Software Engineer 🇺🇸,"Washington, DC",https://job-boards.greenhouse.io/andurilindustries/jobs/4824369007?gh_jid=4824369007&utm_source=Simplify&ref=Simplify,25d
Anduril Industries,Early Career Software Engineer 🇺🇸,"Boston, MA",https://job-boards.greenhouse.io/andurilindustries/jobs/4824362007?gh_jid=4824362007&utm_source=Simplify&ref=Simplify,25d
🔥 TikTok,Software Engineer Graduate (Recommendation Platform) - 2026 Start (BS/MS),"San Jose, CA",https://lifeattiktok.com/search/7536356589390301458?utm_source=Simplify&ref=Simplify,25d
🔥 ByteDance,Software Engineer Graduate (Dev Infra) - 2026 Start (BS/MS),"San Jose, CA",https://joinbytedance.com/search/7536272435440716040?utm_source=Simplify&ref=Simplify,25d
AG Technologies,Hiring Entry Level Software Engineer 🎓,"Chesterfield, MO",https://jobs.smartrecruiters.com/AGTechnologies1/112718194?utm_source=Simplify&ref=Simplify,26d
AG Technologies,Hiring Entry Level Software Engineer,"San Francisco, CA",https://jobs.smartrecruiters.com/AGTechnologies1/113484514?utm_source=Simplify&ref=Simplify,26d
AG Technologies,Hiring Entry Level Software Engineer 🎓,"San Diego, CA",https://jobs.smartrecruiters.com/AGTechnologies1/743999651709482?utm_source=Simplify&ref=Simplify,26d
AG Technologies,Hiring Entry Level Software Engineer 🎓,"Dayton, OH",https://jobs.smartrecruiters.com/AGTechnologies1/743999653435829?utm_source=Simplify&ref=Simplify,26d
AG Technologies,Hiring Entry Level Software Engineer,"New York, NY",https://jobs.smartrecruiters.com/AGTechnologies1/743999655204204?utm_source=Simplify&ref=Simplify,26d
AG Technologies,Hiring Entry Level Software Engineer 🎓,"Dallas, TX",https://jobs.smartrecruiters.com/AGTechnologies1/743999653436079?utm_source=Simplify&ref=Simplify,26d
AG Technologies,Entry Level Software Engineer 🎓,"San Antonio, TX",https://jobs.smartrecruiters.com/AGTechnologies1/743999655632519?utm_source=Simplify&ref=Simplify,26d
AG Technologies,Entry Level Software Engineers 🎓,"Galveston, TX",https://jobs.smartrecruiters.com/AGTechnologies1/743999658747143?utm_source=Simplify&ref=Simplify,26d
AG Technologies,Entry Level software engineer 🎓,"Tampa, FL",https://jobs.smartrecruiters.com/AGTechnologies1/743999658568718?utm_source=Simplify&ref=Simplify,26d
AG Technologies,Hiring Entry Level Software Engineer 🎓,"Casa Grande, AZ",https://jobs.smartrecruiters.com/AGTechnologies1/743999659664711?utm_source=Simplify&ref=Simplify,26d
Verisk,Software Engineer 1,"Holmdel, NJ",https://fa-ewmy-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs/job/2091?utm_source=Simplify&ref=Simplify,26d
Apex Fintech Solutions,Software Engineer I (ALDP),"Austin, TX",https://peak6group.wd1.myworkdayjobs.com/en-US/apexfintechsolutions/job/Austin-TX/Software-Engineer-I--ALDP-_JR103414-1?utm_source=Simplify&ref=Simplify,26d
Folia Health,Junior Software Engineer 🛂,"Boston, MA",https://job-boards.greenhouse.io/foliahealth/jobs/4013590009?utm_source=Simplify&ref=Simplify,26d
Sev1Tech,Software Developer - Entry Level 🇺🇸,"Fort Sill, OK",https://careers-sev1tech.icims.com/jobs/9092/software-developer---entry-level/job?utm_source=Simplify&ref=Simplify,26d
Veterans United Home Loans,Associate Software Engineer,"Remote, MO",https://veteransunited.wd1.myworkdayjobs.com/en-US/vuhl/job/Remote-MO/Associate-Software-Engineer_R5288?utm_source=Simplify&ref=Simplify,26d
BRM,Entry Level Software Engineer,"San Francisco, CA",https://jobs.ashbyhq.com/brm.ai/05cad7f7-2194-480d-8e70-7338cfd2a189?utm_source=Simplify&ref=Simplify,26d
Citadel Securities,C++ Software Engineer,"Miami, FL, London, UK",https://www.citadelsecurities.com/careers/details/c-software-engineer-4/?utm_source=Simplify&ref=Simplify,26d
Suno,Software Engineer 🛂,"Boston, MA, New York, NY",https://jobs.ashbyhq.com/suno/991c9785-9bd5-499a-98aa-146e8c947752?utm_source=Simplify&ref=Simplify,26d
